Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,30/01/20,6:00 PM,India,1,0,0,0,1
2,31/01/20,6:00 PM,India,1,0,0,0,1
3,01/02/20,6:00 PM,India,2,0,0,0,2
4,02/02/20,6:00 PM,India,3,0,0,0,3
5,03/02/20,6:00 PM,India,3,0,0,0,3
6,04/02/20,6:00 PM,India,3,0,0,0,3
7,05/02/20,6:00 PM,India,3,0,0,0,3
8,06/02/20,6:00 PM,India,3,0,0,0,3
9,07/02/20,6:00 PM,India,3,0,0,0,3
10,08/02/20,6:00 PM,India,3,0,0,0,3
11,09/02/20,6:00 PM,India,3,0,0,0,3
12,10/02/20,6:00 PM,India,3,0,0,0,3
13,11/02/20,6:00 PM,India,3,0,0,0,3
14,12/02/20,6:00 PM,India,3,0,0,0,3
15,13/02/20,6:00 PM,India,3,0,0,0,3
16,14/02/20,6:00 PM,India,3,0,0,0,3
17,15/02/20,6:00 PM,India,3,0,0,0,3
18,16/02/20,6:00 PM,India,3,0,0,0,3
19,17/02/20,6:00 PM,India,3,0,0,0,3
20,18/02/20,6:00 PM,India,3,0,0,0,3
21,19/02/20,6:00 PM,India,3,0,0,0,3
22,20/02/20,6:00 PM,India,3,0,0,0,3
23,21/02/20,6:00 PM,India,3,0,0,0,3
24,22/02/20,6:00 PM,India,3,0,0,0,3
25,23/02/20,6:00 PM,India,3,0,0,0,3
26,24/02/20,6:00 PM,India,3,0,0,0,3
27,25/02/20,6:00 PM,India,3,0,0,0,3
28,26/02/20,6:00 PM,India,3,0,0,0,3
29,27/02/20,6:00 PM,India,3,0,0,0,3
30,28/02/20,6:00 PM,India,3,0,0,0,3
31,29/02/20,6:00 PM,India,3,0,0,0,3
32,01/03/20,6:00 PM,India,3,0,0,0,3
33,02/03/20,6:00 PM,India,5,0,0,0,5
34,03/03/20,6:00 PM,India,5,1,3,0,6
35,04/03/20,6:00 PM,India,12,16,3,0,28
36,05/03/20,6:00 PM,India,14,16,3,0,30
37,06/03/20,6:00 PM,India,15,16,3,0,31
38,07/03/20,6:00 PM,India,18,16,3,0,34
39,08/03/20,6:00 PM,India,23,16,3,0,39
40,09/03/20,6:00 PM,India,30,16,3,0,46
41,10/03/20,6:00 PM,India,42,16,3,0,58
42,11/03/20,6:00 PM,India,44,16,3,0,60
43,12/03/20,6:00 PM,India,57,17,3,0,74
44,13/03/20,6:00 PM,India,64,17,3,1,81
45,14/03/20,6:00 PM,India,67,17,10,2,84
46,15/03/20,6:00 PM,India,93,17,13,2,110
47,16/03/20,6:00 PM,India,97,17,13,2,114
48,17/03/20,6:00 PM,India,113,24,14,3,137
49,18/03/20,6:00 PM,India,126,25,14,3,151
50,19/03/20,6:00 PM,India,148,25,20,4,173
51,20/03/20,6:00 PM,India,191,32,23,4,223
52,21/03/20,6:00 PM,India,244,39,23,4,283
53,22/03/20,6:00 PM,India,319,41,24,7,360
54,23/03/20,6:00 PM,India,393,40,24,7,433
55,24/03/20,6:00 PM,India,476,43,40,9,519
56,25/03/20,6:00 PM,India,563,43,43,10,606
57,26/03/20,6:00 PM,India,647,47,45,15,694
58,27/03/20,6:00 PM,India,677,47,67,17,724
59,28/03/20,6:00 PM,India,862,47,80,19,909
60,29/03/20,6:00 PM,India,977,47,96,27,1024
61,30/03/20,6:00 PM,India,1024,47,100,29,1071
